vdr_id,seller
746,fairfield toyota
747,vw credit  inc/pilot
748,danbury auto group inc
749,stadium toyota inc
750,findlay north volkswagen
751,remarketing by ge/hardy automotive llc
752,capital one auto finance
753,plaza motors inc
754,lauderdale bmw of fort lauderdale
755,cat wholesale llc
756,remarketing by ge/larry h miller-fleet lease
757,david j leahy jr
758,auto trakk llc
759,car request inc
760,j m wholesale
761,best buy repos inc
762,apex fleet as agent or assignee of gecfs
763,first merit bank
764,mercedes benz of chicago
765,new england performance cars llc
766,healey ford lincoln mercury llc
767,culver city volvo
768,us bank repos
769,top 10 motors inc
770,del norte credit union
771,findlay toyota flagstaff
772,eckley auto brokers inc
773,audi pembroke pines
774,ahfc/honda lease/trust/hvt  inc. eot acuras
775,nalley bmw
776,hopper motorplex inc
777,lester glenn ford
778,florida auto and truck exchange inc
779,dab auto world & leasing
780,unique autos
781,lexus of greenville
782,all auto imports inc
783,braman motorcars
784,global imports
785,ahfc/honda lease trust/hvt  inc acuras
786,dyer & dyer volvo
787,best car financial inc
788,financial services remarketing - pickup
789,audi of smithtown
790,prestige motorcar imports inc
791,dnl automotive inc
792,all state motor inc
793,financial services remarketing (land rovers)
794,progressive gm inc
795,delta audi delta porsche delta subaru
796,mercedes benz and porsche of atlantic city
797,faulkner auto sales
798,ed voyles kia of chamblee
799,bmw of minnetonka
800,financial services remarketing (repos)
801,athens bmw
802,lauderdale imports ltd bmw pembrok pines
803,margate volvo
804,bmw north america
805,herrin gear chevrolet co inc
806,auto liquidations inc
807,landers mclarty honda
808,mercedes benz of buckhead
809,bmw of bayside
810,par north america
811,fields imports inc
812,premier chry jeep dge ram of w covina
813,bmw of mount laurel
814,union leasing exchange llc
815,best chevrolet
816,bmw of annapolis/mini of annapolis
817,texas auto brokers
818,brown toyota
819,sullivan auto group llc
820,77th street depot federal credit union
821,northeast auto marketing inc
822,checkmate auto brokers
823,triangle auto sales inc
824,remarketing by ge/ak&y enterprises inc
825,martin auto gallery
826,gm financial leasing
827,lake geneva chevrolet buick gmc
828,music city autoplex llc
829,dream cars by bussinger ltd
830,germain bmw of naples
831,primeritus remarketing/compass bank
832,kalsee credit union
833,galyen leasing inc
834,andrew thomas motorcars
835,ingersoll auto of danbury
836,bill luke chrysler jeep and dodge inc
837,north state acceptance
838,tim dahle nissan of southtowne
839,jones toyota
840,landmark credit union
841,braeger chevrolet
842,m and t bank
843,twin willows ii inc
844,vehicle remarketing services
845,suntrust bank
846,auto select inc
847,westfall auto sales
848,leasing associates inc
849,ft knox fcu
850,repo remarketing/vantage west credit union
851,spc credit union
852,vantage west credit union
853,pohanka chevrolet inc
854,explorer pipeline services co
855,remarketing by ge/datcu credit union
856,wheels lt
857,pcs pennsylvania inc
858,fleet lease disposal
859,bb&t
860,fuccillo volkswagen of schenectady
861,dm northwest inc
862,larson motors inc
863,select lane
864,bank of america
865,exceptional motorcar llc
866,laurel kia
867,image fleet & lease sales llc
868,remarketing by ge/manheim statesville
869,marine chevrolet cadillac
870,northeast auto marketing
871,premier partners inc.
872,rick case hyundai inc
873,larry h. miller fleet lease
874,community choice credit union
875,condor capital corp
876,remarketing by ge/cardinal community cu  inc.
877,remarketing by ge/manheim north carolina
878,maritime motors of fairfield inc
879,primeritus remarketing / chesterfield impor
880,bartow ford co
881,remarketing by ge/america first credit union
882,td auto finance
883,courtesy kia of brandon
884,fiserv
885,advantage chevrolet/ge
886,budget rac of memphis
887,enterprise vehicle exchange/non program
888,outten chrysler dodge jeep ram
889,bul connections llc
890,budget rent a car/atlanta
891,pm standley motorcars
892,fiserv/global lending services
893,mercedes benz of kansas city
894,kc landsmen ars
895,budget rent a car/salt lake city
896,best auto brokers inc
897,brac of wichita - wichita landsman
898,foursight capital llc
899,u save auto rental
900,lynn douglas motor co  inc
901,exceptional motorcars ltd
902,blue knob auto sales inc
903,manheim statesville
904,park ford of mahopac inc
905,toyota of stafford
906,wright-patt credit union
907,arlington hgts chry dod jeep
908,shirlie slack mitsubishi
909,superior automotive sales i
910,jim coleman toyota inc
911,baxter ford inc
912,first american credit union
913,remarketing by ge/michigan schools & govt cu
914,bob brown chevrolet inc
915,elrac llc
916,primeritus remarketing/coastal fcu
917,daytona toyota
918,commercial fleet financing
919,autonation ford margate
920,montclair auto sls grp llc
921,pra receivables management llc
922,pee dee auto buyers
923,zappone chrysler jeep dodge ram
924,milford motors inc
925,american leasing/northstar
926,firkins chrysler jeep dodge
927,sti remarketing
928,permian toyota
929,san antonio dodge chrysler jeep
930,haldeman ford inc
931,sutton leasing inc
932,ford-lincoln dealer program
933,flexco fleet services
934,ed morse auto plaza
935,remarketing by ge/west financial acceptance
936,honda of chantilly
937,autonation ford arlington
938,pa distributors
939,nalley toyota stonecrest
940,ars-cpo
941,mike albert limited
942,caribe federal credit union
943,larry hudson chevrolet buick gmc inc
944,automobiles paille inc
945,interstate motors
946,primeritus remarketing/austin century auto sales
947,credit union 1
948,grace motors
949,gateway ford lincoln mazda inc
950,horton truck and equipment llc
951,levittown ford llc
952,big tree auto brokers
953,crossroads nissan of wake forest
954,r & b car sales inc
955,fleet depot
956,mcmb financial
957,sansone jrs 66 nissan
958,dwyer instruments
959,crossroads ford lincoln of sanford inc
960,runde chevrolet inc
961,j magnone auto group llc
962,atlanta motor company inc.
963,napletons north palm auto park inc
964,u s rallye limited
965,nicholas financial inc/clearwater
966,advia credit union
967,paramus ford inc
968,sierra toyota
969,charles & son auto sls inc
970,remarketing by ge/summit financial corp
971,remarketing by ge/manheim pennsylvania
972,parkway motors
973,mike albert fleet solutions
974,shamaley buick gmc
975,fairway chevrolet
976,jepson car co llc
977,assets recovered
978,park fcu
979,hyundai of new port richey
980,fiserv/sierra auto finance
981,liberty subaru inc
982,sutton ford/ge
983,sam stevens motors inc
984,primeritus remarketing/farm bureau
985,carolina farm credit
986,color country automotive llc
987,d&a fine cars
988,nissan of stafford
989,findlay toyota and scion
990,woodhouse sioux city inc
991,alans autos
992,holman honda of fort lauderdale
993,oriental group
994,gateway car dealer inc
995,piazza honda of reading
996,primeritus remarketing/new concepts leasi
997,carriage traders
998,members first credit union
999,derwood auto sales
1000,remarketing by ge/firelands fcu
1001,steve landers toyota
1002,safeway motor corp
1003,ipc investments inc
1004,southern auto finance company/ft lauderdale
1005,browns honda city
1006,central pacific bank
1007,doering leasing company inc
1008,nawi leasing inc
1009,srq auto llc
1010,remarketing by ge/michigan first credit union
1011,parkway automotive group
1012,o'brien hyundai of fort meyers
1013,grow financial fcu
1014,ourismans rockmont chevrolet
1015,carolina trust fcu
1016,hyundai of wesley chapel
1017,subasta & subasta
1018,elder ford of tampa
1019,brown's manassas hyundai
1020,potamkin hyundai inc
1021,bellamy strickland chev olds pon
1022,gte fcu
1023,butler kia
1024,award auto sales and leasing inc
1025,albert & jack inc
1026,rjk auto brokers llc
1027,family auto center
1028,carbucks of georgia inc
1029,port view leasing & sales ltd
1030,ar auto sales
1031,whites auto sales llc
1032,durbin motor sales
1033,remarketing by ge/suntrust bank
1034,champion mazda
1035,braeger ford
1036,924 auto corp
1037,reeves import motorcars inc
1038,rainbow motors corporation
1039,fusion auto finance llc
1040,jim ellis
1041,louisville medical center fcu
1042,john elway chevrolet
1043,haselwood chevrolet cadillac buick pontiac gmc
1044,chapmans las vegas dodge
1045,wichita falls ford lin merc
1046,westbury jeep chrysler dodge inc
1047,susquehanna chrysler dodge jeep ram
1048,saxon fleet services
1049,baileys truck & auto sales
1050,east texas sleds & scoots inc
1051,route one corporation
1052,midtown motors
1053,baxter chrysler jeep dodge
1054,budget rent a car/omaha
1055,budget of omaha/ars
1056,budget rac of atlanta
1057,ec sales llc
1058,budget rent a car/alabama
1059,ars/budget rac of utah & idaho
1060,alaska sales and service inc
1061,apple fcu
1062,lexus of lehigh valley
1063,pohanka honda of fredericksburg
1064,mercedes benz of tyler
1065,gwatney saab of memphis inc
1066,manheim new york -ars
1067,land rover of alexandria
1068,onion creek auto sales llc
1069,germain lexus
1070,archie outlet auto sales
1071,national fleet leasing
1072,towne ford lincoln mazda hyundai
1073,mercedes benz of tampa
1074,mb automotive corp
1075,browns alexandria mazda
1076,lenders assistance corporation
1077,desert european motorcars
1078,mercedes benz of ft lauderdale
1079,land rover palm beach
1080,earnhardt
1081,mmca  inc
1082,florida credit union
1083,mercedes benz of encino
1084,holman infiniti
1085,bailey auto plaza
1086,remarketing of america
1087,primeritus remarketing/american airlines
1088,sheehy nissan of waldorf
1089,nalley lexus smyrna
1090,hendrick chevrolet shawnee mission
1091,hudson nissan
1092,ride rite automobiles llc
1093,sossa pre owned
1094,brown's dulles nissan
1095,southern remarketing solutions/regions bank
1096,kly international
1097,larry h miller chrysler jeep dodge ram sandy
1098,friendly finance corp
1099,castlewood motors ltd
1100,chelo auto sales
1101,a town auto brokers
1102,autonation nissan pembroke pines
1103,southern auto finance co/ft. lauderdale
1104,wissler motors inc
1105,fiserv/security national automotive accept corp
1106,rock honda
1107,rolls royce motorcars manhattan
1108,afg/champion cu
1109,performance chrysler dodge jeep ram of bellevue
1110,autolenders liquidation center
1111,gaudin jaguar porsche of las vegas
1112,primeritus remarketing / pennsylvania state
1113,rock springs honda toyota
1114,hanesbrands credit union
1115,ashland motorcars llc
1116,remarketing by ge/penske truck lsg fleet sales
1117,courtesy toyota of brandon
1118,j & j auto & truck sales
1119,elmhurst auto group ltd
1120,all american ford inc
1121,onesource/savannah toyota scion
1122,onesource/pitts toyota inc
1123,safford chrysler jeep dodge of springfield
1124,leo venters motors inc
1125,georges used car sales inc
1126,grand prix suzuki
1127,grand auto exchange llc
1128,fred martin motor co
1129,gnm auto sales inc
1130,pohanka lexus
1131,south bay remarketing services
1132,classic ford
1133,toyota of waldorf
1134,gwinnett place honda
1135,tomlinson auto sales leasing account
1136,terryville chevrolet llc
1137,classic audi
1138,bright star credit union
1139,joyce koons honda buick gmc
1140,fleet lease remarketing
1141,the auto connection
1142,brown's volkswagen suzuki
1143,cm investments
1144,great neck nissan llc
1145,boardwalk volkswagen
1146,repo remarketing/sce federal credit union
1147,merchants automotive group/gdp
1148,corpat inc
1149,vineyard enterprises inc/chr
1150,toyota of tacoma
1151,lexus of annapolis
1152,autobuy
1153,motorcars of lansing inc
1154,hendrick buick gmc cadillac
1155,lauderdale infiniti
1156,national auto lenders
1157,holman ford lincoln
1158,finish line ford inc
1159,new country lexus of latham
1160,wells fargo dealer services-tra
1161,innovate auto finance
1162,mobico auto
1163,john jones automtv outlet inc
1164,lexus of omaha
1165,primeritus remarketing/dwai
1166,cars ez llc
1167,a & b auto sales
1168,intermountain auto sales
1169,rippy cadillac llc
1170,remarketing by ge/monterey credit union
1171,battlefield ford
1172,one nevada credit union
1173,corporate america family credit union
1174,crossroads ford inc
1175,don bohn buick gmc
1176,primeritus remarketing/five star car and truck
